Shop_Name,Cuisine,Rating,Cost_for_Two,area,location_spot,cost_of_one
Kanti Sweets,Sweets,4.3,150,Koramangala, Koramangala,75.0
Mumbai Tiffin,"North Indian, Home Food, Thalis, Combo",4.4,400,Sector 5, HSR,200.0
Sri Krishna sagar,"South Indian, North Indian, Fast Food, Beverages, Jain",4.1,126,6th Block, Koramangala,63.0
Al Daaz,"American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian",4.4,400,HSR, HSR,200.0
Beijing Bites,"Chinese, Thai",4.1,450,5th Block, Koramangala,225.0
Kitchens of Punjab,North Indian,4.2,350,Koramangala 4th  Block, Koramangala,175.0
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,"Fast Food, North Indian, Chinese",4.1,200,BTM 2nd Stage, BTM,100.0
La Pino'z Pizza,Italian,3.9,500,BTM, BTM,250.0
Hotel Manu,"South Indian, Kerala, Chinese, North Indian",4.1,350,HSR, HSR,175.0
Yumlane Pizza,"Pizzas, Italian, Mexican",3.8,150,9th Main road, Koramangala,75.0
Ambur Star Briyani,"Chinese, South Indian, North Indian, Desserts, Fast Food, Kerala, Andhra, Beverages, Mughlai, Seafood",4.1,500,outer ring road, BTM,250.0
Cake Box,Desserts,4.0,247,Koramangala, Koramangala,123.5
Meghana Foods,"Chinese, Andhra, Biryani, Seafood",4.3,550,5th Block, Koramangala,275.0
Momoz,Chinese,4.3,450,5th Block, Koramangala,225.0
A2B - Adyar Ananda Bhavan,"South Indian, Chinese, Desserts, North Indian",4.2,450,7th Block, Koramangala,225.0
Shawarma Inc,"Arabian, Fast Food",4.1,150,1st MAin, Koramangala,75.0
WarmOven Cake & Desserts,"Desserts, Beverages",4.1,200,Koramangala, Koramangala,100.0
Sri Lakshmi Dhaba,North Indian,3.7,200,Bommanahalli, BTM,100.0
Falahaar & Kota Kachori,North Indian,4.2,300,6th block, Koramangala,150.0
Shree Khana Khazana,"Indian, Rajasthani",4.1,350,Sector 4, HSR,175.0
Just Bake - Cakes & confectioners,"Desserts, Bakery",4.3,300,BTM 1st stage, BTM,150.0
Maa Di Hatti,"Chinese, Healthy Food, North Indian",4.0,129,Jakkasandra Extn, Koramangala,64.5
Hotel Godavari,"North Indian, Chinese, Hyderabadi",4.0,400,Marutinagar Main Road, BTM,200.0
Rolls On Wheels,Fast Food,4.1,300,1st Block, Koramangala,150.0
New Udupi Grand,"Chinese, Jain, North Indian, South Indian",4.3,150,HSR, HSR,75.0
Swad Punjab da,Indian,4.1,250,BTM, BTM,125.0
Rice Bowl,"North Indian, South Indian, Chinese",4.1,250,6th Block, Koramangala,125.0
High N Hungry,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian",4.1,350,4th Cross, BTM,175.0
Burger King,"American, Fast Food",3.9,350,7th Block, Koramangala,175.0
Nandhana Palace,"Biryani, Seafood, North Indian, Chinese, Desserts, Andhra, South Indian",4.0,500,Koramangala, Koramangala,250.0
Easy Bites,"Snacks, American",3.9,200,koramangala, Koramangala,100.0
Bengali Fun Foods,North Indian,4.2,300,BTM 2nd stage, BTM,150.0
Madurai Idly Shop,South Indian,4.0,150,6th Block, Koramangala,75.0
Oottupura,"Kerala, South Indian",4.3,268,BTM, BTM,134.0
Taco Bell,Mexican,4.3,600,6th Block, Koramangala,300.0
Hyderabadi Biryani Hub,"North Indian, Chinese, Biryani",3.9,450,3rd main, BTM,225.0
Biriyani Zone,"North Indian, Chinese, Biryani",4.1,600,HSR 1st sector, HSR,300.0
Gongura's,"North Indian, Chinese, Biryani",3.8,300,Sector 7, HSR,150.0
Bathinda Junction,North Indian,4.1,250,5th Block, Koramangala,125.0
Leon Grill,"Turkish, Portuguese, American",4.3,300,3rd Sector, HSR,150.0
Venu's Donne Biryani,Biryani,4.3,300,Chocolate Factory Road, BTM,150.0
Cakewala,Desserts,4.3,450,HSR, HSR,225.0
Swadista Aahar,"South Indian, Snacks, North Indian, Chinese",4.1,250,16th Main Road, 2nd Stage,125.0
Cream Stone,Desserts,4.3,250,5th Block, Koramangala,125.0
Svadu Pure Ghee Sweets,"Desserts, Fast Food, Sweets, Chaat",4.1,200,1st Stage, BTM,100.0
Sai Abhiruchi,"Chinese, South Indian, Andhra, Hyderabadi",3.7,250,BTM, BTM,125.0
Pizza Hut,"Pizzas, Fast Food",4.0,600,Hosur Main Road, Koramangala,300.0
Hyderabad Biryaani House,"Biryani, Mughlai, South Indian",4.0,350,1st Cross Road, 5th Block,175.0
China Pearl,"Chinese, Asian",4.4,527,6th Block, Koramangala,263.5
Balaji's Veg,"North Indian, Chinese, South Indian",4.1,300,Mico Layout, BTM,150.0
Onesta,"Italian, Desserts, Pizzas",3.7,250,4th Cross, Koramangala,125.0
Donne Biryani Mandi,"Biryani, Andhra, South Indian",4.0,150,BTM, BTM,75.0
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bakery, Biryani, Cafe, Desserts, Healthy Food, Mexican, North Indian, Salads, Pizzas",3.9,350,1st Block, Koramangala,175.0
Donne Biryani House,Biryani,4.1,130,7th Block, Koramangala,65.0
Pipabu,"Pizzas, Chinese, Pastas, Salads, American, Continental",4.1,257,4th Block, Koramangala,128.5
Sharmas punjabi restaurant,North Indian,4.1,200,1st Block, Koramangala,100.0
KFC,"American, Fast Food",4.3,400,Intermediate Ring Road, Koramangala,200.0
Donne Biriyani House,South Indian,4.0,300,3rd sector, HSR,150.0
Nanda's,"Andhra, Biryani",4.0,400,HSR, HSR,200.0
Sagar fast food,"Chinese, South Indian, North Indian, Fast Food",4.3,200,8TH BLOCK, Koramangala,100.0
calicut cafe restaurant,"Fast Food, Beverages",4.1,280,BTM, BTM,140.0
Cake Garden,"Desserts, Bakery",3.9,250,HSR, HSR,125.0
Biryanis and more,"Biryani, South Indian, North Indian, Fast Food, Andhra, Beverages, Mughlai, Seafood, Punjabi, Hyderabadi, Chinese",4.1,399,4th b cross, Koramangala,199.5
Biryani Khazana,Biryani,4.3,400,Koramangala, Koramangala,200.0
800 Momos,Chinese,3.7,150,Koramangala, Koramangala,75.0
World of asia,"Beverages, Chinese",4.0,250,BTM, BTM,125.0
Ghar Ka Khana,North Indian,4.2,220,BTM, BTM,110.0
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.9,300,5th Block, Koramangala,150.0
KANNUR FOOD POINT,"Kerala, Chinese",3.9,300,SG palaya, BTM,150.0
KANNOOR RESTAURANT,"North Indian, Chinese",4.0,250,BTM, BTM,125.0
Fattoush,"Arabian, Beverages, Biryani, Chinese, Desserts, North Indian",3.9,400,BTM, BTM,200.0
Nizams Biryani,"Biryani, Juices, Kebabs",3.6,200,Venkatapura Main Rd, Teacher's Colony,100.0
Nagarjuna,"Andhra, South Indian",4.3,600,KHB Colony, Koramangala,300.0
Punjabi Rasoi,North Indian,4.0,800,Sector 3, HSR,400.0
CRAVY WINGS - The American Diner,"American, Fast Food",4.3,300,Bannerghatta Road, Jayanagar,150.0
Barista,"Beverages, Cafe, Snacks",3.8,350,80 Feet Peripheral Road, Koramangala,175.0
BIRIYANI TASTE MASTH(BTM),"North Indian, South Indian",4.2,300,Btm, BTM,150.0
Leon Grill,"Turkish, Portuguese, American, Grill",4.3,300,5th Block, Koramangala,150.0
Khichdi Experiment,"Home Food, Healthy Food, Indian",4.8,200,Koramangala, Koramangala,100.0
Tandoori Merchant,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian",4.2,100,4th Cross, BTM,50.0
Chinese Bae,"Chinese, Thai",4.5,450,BTM, BTM,225.0
Kitchens of China,Chinese,4.1,350,Koramangala, Koramangala,175.0
Natural Ice Cream,Ice Cream,4.6,150,Near Wipro Park Signal, Koramangala,75.0
Abhiruchi Hotel,"Chinese, Hyderabadi, Biryani, Indian, South Indian, Andhra, Tandoor",4.0,250,BTM, BTM,125.0
Punjabi Swag,"Punjabi, North Indian, Chinese, Fast Food, Healthy Food, Mughlai, Desserts",3.7,400,16th Main Road, BTM,200.0
Truffles,American,4.3,450,5th Block, Koramangala,225.0
Gyaani Da Punjabi Dhaba,North Indian,4.0,500,2nd Stage, BTM,250.0
Biriyani Bhatti,"Biryani, Hyderabadi, Andhra, North Indian, South Indian",4.1,350,Kuvempu Nagar, Stage 2,175.0
Khawa Karpo,Chinese,4.3,178,Koramangala, Koramangala,89.0
99 VARIETY DOSA AND JUICE-Malli mane food court,"Fast Food, Juices, North Indian",4.1,100,Koramangala 1st block, Koramangala,50.0
Purani Dilli By Anand Sweets,"North Indian, Chaat, Snacks, Fast Food",4.3,400,5th Block, Koramangala,200.0
XO Belgian Waffle,Desserts,4.3,250,Koramangala, Koramangala,125.0
BIRYANI CRAFTS,Indian,4.1,500,BTM, BTM,250.0
Madeena Hotel,"Desserts, Mughlai, Seafood",4.1,500,5th Block Kormangala, Koramangala,250.0
Corner House Ice Cream,"Ice Cream, Desserts",4.6,250,7th Block, Koramangala,125.0
NIC Natural Ice Creams,"Ice Cream, Desserts",4.2,120,Koramangla, Koramangala,60.0
Just Shawarma,Fast Food,4.0,250,5th block, Koramangala,125.0
La Pino'z Pizza,Italian,3.9,251,4th Block, Koramangala,125.5
Dindigul Thalapakatti Biriyani,North Indian,4.1,650,HSR, HSR,325.0
Delhi Food Point,North Indian,4.1,132,1st Block, Koramangala,66.0
Easy Bites,"Snacks, American",3.8,200,9th Main Rd, Sector 6,100.0
Mad Over Donuts,Desserts,3.9,350,7th Block, Koramangala,175.0
Village Donne Biriyani,South Indian,3.6,300,Koramangala, Koramangala,150.0
R.B Food Point,"Chinese, North Indian",3.7,350,Jay Bheema Nagar, BTM,175.0
Paradise Biryani,"Biryani, Kebabs",4.0,300,Koramangala 6th block, Koramangala,150.0
New Tasty Cafeteria,"Andhra, Chettinad, Chinese, Mughlai, North Indian",4.0,350,Maruthi Nagar, BTM,175.0
Junior Kuppanna,"Chettinad, South Indian",4.0,550,Sector 6, HSR,275.0
The Bowl Company,"Continental, Indian, Pan-Asian, Oriental",4.3,350,Jakkasandra Village, Koramangala,175.0
Hotel Savitha Family Restaurant,"North Indian, South Indian",4.0,153,4th block, Koramangala,76.5
Biryani Pot,"North Indian, Biryani",4.0,500,Madiwala Junction, BTM,250.0
Bowl 99,"North Indian, South Indian",4.4,200,kormangala, Koramangala,100.0
Kritunga,"Andhra, Biryani",3.9,500,5th Block, Koramangala,250.0
Wok Paper Scissors,"Pan-Asian, Chinese, Asian",3.9,219,JNC Road, Koramangala,109.5
Savoury Restaurant,"Arabian, Middle Eastern, North Indian, Grill, Seafood, Kerala, Chinese",4.1,600,Madiwala, BTM,300.0
Royal Treat,"North Indian, Chinese, Seafood, Biryani",4.2,193,5th block Koramangala, Koramangala,96.5
Thali 99,North Indian,4.3,200,Koramangala, Koramangala,100.0
Mani's Dum Biryani,"Andhra, Biryani",4.2,400,1st Block, Koramangala,200.0
